,BOMB,MISSILE,HEAVYMISSILE,MINE,INTERCEPTOR,FIGHTER,SCAVENGER,BOMBER,ESCORTCAP,CAPITAL,CARRIER,BASE,GROUND,AERO,TROOP,SUPPORT,POINTDEF,SHUTTLE,CARGO,INERT,TGROUND,TMASSIVE,TSMALLCAP,TFIGHTER
BOMB,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,
MISSILE,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
HEAVYMISSILE,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
MINE,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
INTERCEPTOR,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter
FIGHTER,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter
SCAVENGER,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter
BOMBER,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber,bomber
ESCORTCAP,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho
CAPITAL,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho
CARRIER,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho
BASE,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho
GROUND,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho,macho
AERO,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter,fighter
TROOP,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
SUPPORT,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
POINTDEF,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
SHUTTLE,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
CARGO,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
INERT,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
TGROUND,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
TMASSIVE,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
TSMALLCAP,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
TFIGHTER,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
