"file","categoryname","price","mass","volume","description"
"Admonisher.stock","starships/Confed/Heavy",3000000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Admonisher.HSspec","starships/Homeland-Security/Milspec",3000000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Admonisher.milspec","starships/Confed/Milspec",3500000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Admonisher_Milspec_Package","upgrades/Packages/Milspec",2500000,275,5600,"Full-Custom Milspec Configuration"
"Admonisher.puristspec","starships/Purist/Milspec",3000000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Admonisher.rgspec","starships/Regional_Guard/Heavy",3000000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Admonisher.salvage","starships/Pirate/Heavy",2000000,275,5600,"A Purist crafted light assault vessel, the Admonisher is often used for internal policing duties by Homeland Security and others within the Confederation.  As might be expected from a vessel used for such purposes, it excels at neutralizing both small craft and their support vessels, a valuable asset in the suppression of Pirates and the dangerous ideologies of the Luddites and ISO."
"Ancestor.stock","starships/Shaper/Light",190000,40,1000,"The 'ancestors' of the Ancestor class have been flying for hundreds of years. This most recent remodelling of the Shaper's aerospace frame has been in service for 15 years, and has seen action several times in assaults on dirtside criminal bases."
"Ancestor.milspec","starships/Confed/Milspec",700000,40,800,"The 'ancestors' of the Ancestor class have been flying for hundreds of years. This most recent remodelling of the Shaper's aerospace frame has been in service for 15 years, and has seen action several times in assaults on dirtside criminal bases."
"Ancestor_Milspec_Package","upgrades/Packages/Milspec",500000,40,800,"Full-Custom Milspec Configuration"
"Ancestor.shaperspec","starships/Shaper/Milspec",525000,40,800,"The 'ancestors' of the Ancestor class have been flying for hundreds of years. This most recent remodelling of the Shaper's aerospace frame has been in service for 15 years, and has seen action several times in assaults on dirtside criminal bases."
"Areus","starships/restricted",1,216,4400,"More a fighter than a bomber, this is the secondary assault craft the Aera rely on, after the Agis. These light assault craft are commonly seen as escorts to the larger, more dangerous Agis class assault corvettes, though it is not uncommon to see wings of Areus detatch to spearhead assaults on subcapitals and support vessels. While larger and not as nimble as fighters or interceptors, the Areus is perfectly well equipped to engage any smaller craft foolish enough to wander near its gun sights. Armament on the Areus isn't well suited to assaulting capital vessels directly, but is entirely sufficient for destroying subcapitals, support craft, or softening up craft too large to destroy outright with the limited payload available. The Areus is almost never seen in defensive operations outside of the aforementioned escort of larger strike forces."
"Areus.milspec","starships/Aera/Milspec",6000000,216,4400,"More a fighter than a bomber, this is the secondary assault craft the Aera rely on, after the Agis. These light assault craft are commonly seen as escorts to the larger, more dangerous Agis class assault corvettes, though it is not uncommon to see wings of Areus detatch to spearhead assaults on subcapitals and support vessels. While larger and not as nimble as fighters or interceptors, the Areus is perfectly well equipped to engage any smaller craft foolish enough to wander near its gun sights. Armament on the Areus isn't well suited to assaulting capital vessels directly, but is entirely sufficient for destroying subcapitals, support craft, or softening up craft too large to destroy outright with the limited payload available. The Areus is almost never seen in defensive operations outside of the aforementioned escort of larger strike forces."
"Areus_Milspec_Package","upgrades/Packages/Milspec",4000000,216,4400,"Full-Custom Milspec Configuration"
"Ariston.stock","starships/Aera/Heavy",2700000,197,4000,"The Aeran Ascendancy's Ariston class is not the most nimble fighter and is impotent against large vessels, but it is very well armed and armored against small craft. The Ariston is a defensively oriented fighter, flying escort and superiority missions, and never assault. Significant numbers of Aristons will accompany strike missions, but ordinance loads are universily anti-interceptor. Likewise, a reserve of Aristons tends to be kept near capital vessels to launch alongside Nicander class interceptors, so as to engage enemy fighter escorts."
"Ariston.escort","starships/restricted",1,197,4000,"The Aeran Ascendancy's Ariston class is not the most nimble fighter and is impotent against large vessels, but it is very well armed and armored against small craft. The Ariston is a defensively oriented fighter, flying escort and superiority missions, and never assault. Significant numbers of Aristons will accompany strike missions, but ordinance loads are universily anti-interceptor. Likewise, a reserve of Aristons tends to be kept near capital vessels to launch alongside Nicander class interceptors, so as to engage enemy fighter escorts."
"Ariston.milspec","starships/Aera/Milspec",3500000,197,4000,"The Aeran Ascendancy's Ariston class is not the most nimble fighter and is impotent against large vessels, but it is very well armed and armored against small craft. The Ariston is a defensively oriented fighter, flying escort and superiority missions, and never assault. Significant numbers of Aristons will accompany strike missions, but ordinance loads are universily anti-interceptor. Likewise, a reserve of Aristons tends to be kept near capital vessels to launch alongside Nicander class interceptors, so as to engage enemy fighter escorts."
"Ariston_Milspec_Package","upgrades/Packages/Milspec",2500000,197,4000,"Full-Custom Milspec Configuration"
"Clydesdale","starships/restricted",1,29000000,590000000,"The only warship produced at Merchant shipyards, the Clydesdale suffers somewhat from being a truly Confederation designed vessel, with noticeable committee effects. If not posessing unrivaled capabilities, nor visionary design, it is nonetheless a solid, workhorse of a vessel and produced, like all craft rolling off the Merchant shipyards, in some number."
"Clydesdale.milspec","starships/Confed/Light_Capship",400000000,29000000,590000000,"The only warship produced at Merchant shipyards, the Clydesdale suffers somewhat from being a truly Confederation designed vessel, with noticeable committee effects. If not posessing unrivaled capabilities, nor visionary design, it is nonetheless a solid, workhorse of a vessel and produced, like all craft rolling off the Merchant shipyards, in some number."
"Clydesdale_Milspec_Package","upgrades/Packages/Milspec",200000000,29000000,590000000,"Full-Custom Milspec Configuration"
"Clydesdale.merchant","starships/Merchant/Light_Capship",300000000,29000000,590000000,"The only warship produced at Merchant shipyards, the Clydesdale suffers somewhat from being a truly Confederation designed vessel, with noticeable committee effects. If not posessing unrivaled capabilities, nor visionary design, it is nonetheless a solid, workhorse of a vessel and produced, like all craft rolling off the Merchant shipyards, in some number."
"Convolution.stock","starships/Confed/Medium",760000,62,1280,"Typically used as a light assault craft, the Convolution relies on its heavy energy-weapon firepower rather than missiles to overpower its foes with sequences of strafing runs.  It is an Unadorned design; as befits the faction's name, it is far from an aesthetic marvel, asymmetric and without pretense of beauty, but is well-designed, cost-effective, and the preferred strike craft of a small minority of pilots."
"Convolution.milspec","starships/Confed/Milspec",1500000,62,1280,"Typically used as a light assault craft, the Convolution relies on its heavy energy-weapon firepower rather than missiles to overpower its foes with sequences of strafing runs.  It is an Unadorned design; as befits the faction's name, it is far from an aesthetic marvel, asymmetric and without pretense of beauty, but is well-designed, cost-effective, and the preferred strike craft of a small minority of pilots."
"Convolution_Milspec_Package","upgrades/Packages/Milspec",1000000,62,1280,"Full-Custom Milspec Configuration"
"Derivative.stock","starships/Confed/Medium",800000,134,2700,"An Unadorned missile-based interceptor, the Derivative is commonly deployed as part of Confederate fleets. It can quikly bring to bear a large amount of firepower from its compact, almost skeletal, frame.  Because of this, its mere presence is often enough to make undesireables reconsider their intended courses of action."
"Derivative.milspec","starships/Confed/Milspec",1200000,134,2700,"An Unadorned missile-based interceptor, the Derivative is commonly deployed as part of Confederate fleets. It can quikly bring to bear a large amount of firepower from its compact, almost skeletal, frame.  Because of this, its mere presence is often enough to make undesireables reconsider their intended courses of action."
"Derivative_Milspec_Package","upgrades/Packages/Milspec",800000,134,2700,"Full-Custom Milspec Configuration"
"Determinant.stock","starships/Confed/Medium",700000,54,1100,"Solid and reliable, the Unadorned Determinant-class ships can often be seen prowling Confederate space, and have now even proven themselves in skirmishes with Aeran raiders.  Though its popularity is highest among the Unadorned, it remains well-liked by the rest of the Confederation, and others, due to its relatively low cost to produce."
"Determinant.milspec","starships/Confed/Milspec",1200000,54,1100,"Solid and reliable, the Unadorned Determinant-class ships can often be seen prowling Confederate space, and have now even proven themselves in skirmishes with Aeran raiders.  Though its popularity is highest among the Unadorned, it remains well-liked by the rest of the Confederation, and others, due to its relatively low cost to produce."
"Determinant_Milspec_Package","upgrades/Packages/Milspec",800000,54,1100,"Full-Custom Milspec Configuration"
"Dirge","starships/restricted",1,123456789,123456789,"An insystem fighter design, the Dirge is a sturdy, flexible ship that can be fitted with both guns and missiles.  Versatile, balanced, and agile, it is most often seen in the use of its creators, the Shmrn. "
"Dodo.stock","starships/Merchant/Light",75000,1096,22000,"As a cargo tug, quite successful - as a piece of art, quite ugly."
"Dodo.milspec","starships/Confed/Milspec",400000,1096,21000,"As a cargo tug, quite successful. As a piece of art - quite ugly."
"Dodo_Milspec_Package","upgrades/Packages/Milspec",90000,1096,21000,"Full-Custom Milspec Configuration"
"Dostoevsky.stock","starships/Andolian/Medium",360000,63,1300,"A superiority fighter manufactured in massive numbers by the Andolian Protectorate, the Dostoevsky combines a light, efficient design with immediately palpable firepower.  Though designed to engage other fighters, its ability to carry a torpedo, if only one, broadens the range of targets that must stay wary, especially in the numbers that Dostoevskys tend to appear in."
"Dostoevsky.klkkspec","starships/klk'k/Medium",550000,63,1300,"A superiority fighter manufactured in massive numbers by the Andolian Protectorate, the Dostoevsky combines a light, efficient design with immediately palpable firepower.  Though designed to engage other fighters, its ability to carry a torpedo, if only one, broadens the range of targets that must stay wary, especially in the numbers that Dostoevskys tend to appear in."
"Dostoevsky.milspec","starships/klk'k/Milspec",500000,63,1300,"A superiority fighter manufactured in massive numbers by the Andolian Protectorate, the Dostoevsky combines a light, efficient design with immediately palpable firepower.  Though designed to engage other fighters, its ability to carry a torpedo, if only one, broadens the range of targets that must stay wary, especially in the numbers that Dostoevskys tend to appear in."
"Dostoevsky_Milspec_Package","upgrades/Packages/Milspec",350000,63,1300,"Full-Custom Milspec Configuration"
"Dostoevsky.rgspec","starships/Regional_Guard/Medium",450000,63,1300,"A superiority fighter manufactured in massive numbers by the Andolian Protectorate, the Dostoevsky combines a light, efficient design with immediately palpable firepower.  Though designed to engage other fighters, its ability to carry a torpedo, if only one, broadens the range of targets that must stay wary, especially in the numbers that Dostoevskys tend to appear in."
"Franklin","starships/restricted",1,575,12000,"Andolian diplomatic shuttle"
"Franklin.milspec","starships/Passenger/Light",1800000,575,12000,"Andolian diplomatic shuttle"
"Franklin_Milspec_Package","upgrades/Packages/Milspec",1200000,575,12000,"Full-Custom Milspec Configuration"
"Franklin.hunter","starships/Hunter/Heavy",1000000,575,12000,"Andolian diplomatic shuttle"
"Gawain.stock","starships/Confed/Heavy",3200000,40,1000,"A bejeweled sword among more workmanlike interceptors since its introduction three years ago, the Highborn Gawain is an impressively featured and stylish craft.  Magnificently built, it offers an array of features: a number of gun mounts, missile room, and a powerful engine capable of firm acceleration.  It also offers a number of luxuries to the pilot as well, and those that have flown the Gawain consider it an experience to which little can compare.  Like all Highborn vessels, it is known for its durability and reliability even under the worst conditions.  Its features come at a great price, however, and it is one that few can afford.  Perhaps for this reason, there are relatively few Gawains in service, with some buyers opting to requisition several of the much-cheaper Derivative class interceptors instead."
"Gawain.highbornspec","starships/Highborn/Heavy",4000000,40,800,"The High-Born have a spacecraft manufacturing methodology most other factions reserve for Luxury Yachts. The Gawain class of interceptors stays true to this line of thinking, with exceptional performance being provided for exhorbitant cost. The price tag comes from the manufacturing method itself, the lower scale of production, and the equally important mere 3 years of production on the current version."
"Gawain.milspec","starships/Confed/Milspec",4500000,40,800,"A bejeweled sword among more workmanlike interceptors since its introduction three years ago, the Highborn Gawain is an impressively featured and stylish craft.  Magnificently built, it offers an array of features: a number of gun mounts, missile room, and a powerful engine capable of firm acceleration.  It also offers a number of luxuries to the pilot as well, and those that have flown the Gawain consider it an experience to which little can compare.  Like all Highborn vessels, it is known for its durability and reliability even under the worst conditions.  Its features come at a great price, however, and it is one that few can afford.  Perhaps for this reason, there are relatively few Gawains in service, with some buyers opting to requisition several of the much-cheaper Derivative class interceptors instead."
"Gawain_Milspec_Package","upgrades/Packages/Milspec",3000000,40,800,"Full-Custom Milspec Configuration"
"Goddard","starships/restricted",1,2150,43000,"The Goddard is a heavy bomber of Andolian manufacture, and the current crown jewel of the Confederation's array of small craft.  Created from lessons gleaned from the Aera-Rlaan conflict, the Goddard is a flying fortress, able to weather a considerable amount of punishment.  However, as strong as it is defensively, it is even more impressive offensively.  Its nearly two dozen gun, turrets, and missile mounts allow it to unleash devastation on whatever its target may be."
"Goddard.milspec","starships/Confed/Milspec",11000000,2150,43000,"The Goddard is a heavy bomber of Andolian manufacture, and the current crown jewel of the Confederation's array of small craft.  Created from lessons gleaned from the Aera-Rlaan conflict, the Goddard is a flying fortress, able to weather a considerable amount of punishment.  However, as strong as it is defensively, it is even more impressive offensively.  Its nearly two dozen gun, turrets, and missile mounts allow it to unleash devastation on whatever its target may be."
"Goddard_Milspec_Package","upgrades/Packages/Milspec",7000000,2150,43000,"Full-Custom Milspec Configuration"
"GTIO","starships/restricted",1,123456789,123456789,"What happens when you maximize speed and style to the exclusion of everything else?  The GTIO happens.  Simply the best sportship on the market today, the GTIO is a redefinition of power and luxury, and carries a pricetag that reflects that."
"Hammer.stock","starships/Hunter/Heavy",200000,115,2300,"The Hammer assault craft was originally named the 'Toad', a creation of the LIHW.  However, usage of this model by the ISO has made it iconic, to the point where few call it by its original name.  Much larger than the other famous ISO ship, the Sickle, the Hammer  has sometimes been referred to as 'the mighty arm of the proletariat' in ISO propaganda."
"Hammer.iso","starships/restricted",1,115,2300,"The Hammer assault craft was originally named the 'Toad', a creation of the LIHW.  However, usage of this model by the ISO has made it iconic, to the point where few call it by its original name.  Much larger than the other famous ISO ship, the Sickle, the Hammer  has sometimes been referred to as 'the mighty arm of the proletariat' in ISO propaganda."
"Hammer.isospec","starships/ISO/Heavy",280000,115,2300,"The Hammer assault craft was originally named the 'Toad', a creation of the LIHW.  However, usage of this model by the ISO has made it iconic, to the point where few call it by its original name.  Much larger than the other famous ISO ship, the Sickle, the Hammer  has sometimes been referred to as 'the mighty arm of the proletariat' in ISO propaganda."
"Hyena.stock","starships/Pirate/Light",110000,40,1000,"Like their namesakes from the savannahs of Earth, Hyenas are often seen preferring to engage the damaged, the naive, and the straggler rather than pursuing more solid prey, especially when in the hands of Pirates.  Though they possess neither great speed, nor impressive maneuverability, the Hyenas nonetheless pack enough firepower to give a pilot pause, especially in packs."
"Hyena.hunter","starships/Hunter/Light",140000,40,1000,"Like their namesakes from the savannahs of Earth, Hyenas are often seen preferring to engage the damaged, the naive, and the straggler rather than pursuing more solid prey, especially when in the hands of Pirates.  Though they possess neither great speed, nor impressive maneuverability, the Hyenas nonetheless pack enough firepower to give a pilot pause, especially in packs."
"Hyena.pirates","starships/restricted",1,40,1000,"Like their namesakes from the savannahs of Earth, Hyenas are often seen preferring to engage the damaged, the naive, and the straggler rather than pursuing more solid prey, especially when in the hands of Pirates.  Though they possess neither great speed, nor impressive maneuverability, the Hyenas nonetheless pack enough firepower to give a pilot pause, especially in packs."
"Kafka","starships/restricted",1,123456789,123456789,"While the Merchant's Guild has a well-recognized line of cargo vessels, the Kafka is a simple, cost-effective shuttle that can transport a good amount of cargo.  It is most often found in the more lawful regions of space, usually those inhabited by its designers, the Klk'k."
"Kafka.civvie","starships/restricted",1,123456789,123456789,"While the Merchant's Guild has a well-recognized line of cargo vessels, the Kafka is a simple, cost-effective shuttle that can transport a good amount of cargo.  It is most often found in the more lawful regions of space, usually those inhabited by its designers, the Klk'k."
"Kierkegaard","starships/Confed/Milspec",800000,1800,15000,"Used to near exclusion in anti-capital roles, the Kierkegaard is a missile oriented Andolian gunboat.  Its heavy reliance on missiles, coupled with its modest acceleration curves, makes it much more suited to defensive deployments than spearheading strikeforces.  While it excels at weakening and destroying capital vessels, it has been found wanting when faced with packs of nimble fighters, and must hastily return to friendlier space when its missile supplies run low."
"Lancelot.stock","starships/Confed/Heavy",3800000,170,3500,"A heavy superiority fighter designed by the Highborn, the Lancelot really is superior in almost every sense of the word.  Superbly engineered, even the older Lancelot models seldom have mechanical problems, and the interior, spartan in most other military vessels, is nothing short of luxurious.  The cost, however, as with most Highborn designs, is equally profound."
