,"Directory","Name","STATUS","Object_Type","Combat_Role","Textual_Description","Hud_image","Unit_Scale","Cockpit","CockpitX","CockpitY","CockpitZ","Mesh","Shield_Mesh","Rapid_Mesh","BSP_Mesh","Use_BSP","Use_Rapid","NoDamageParticles","Mass","Moment_Of_Inertia","Fuel_Capacity","Hull","Armor_Front_Top_Right","Armor_Front_Top_Left","Armor_Front_Bottom_Right","Armor_Front_Bottom_Left","Armor_Back_Top_Right","Armor_Back_Top_Left","Armor_Back_Bottom_Right","Armor_Back_Bottom_Left","Shield_Front_Top_Right","Shield_Back_Top_Left","Shield_Front_Bottom_Right","Shield_Front_Bottom_Left","Shield_Back_Top_Right","Shield_Front_Top_Left","Shield_Back_Bottom_Right","Shield_Back_Bottom_Left","Shield_Recharge","Shield_Leak","Warp_Capacitor","Primary_Capacitor","Reactor_Recharge","Jump_Drive_Present","Jump_Drive_Delay","Wormhole","Outsystem_Jump_Cost","Warp_Usage_Cost","Afterburner_Type","Afterburner_Usage_Cost","Maneuver_Yaw","Maneuver_Pitch","Maneuver_Roll","Yaw_Governor","Pitch_Governor","Roll_Governor","Afterburner_Accel","Forward_Accel","Retro_Accel","Left_Accel","Right_Accel","Top_Accel","Bottom_Accel","Afterburner_Speed_Governor","Default_Speed_Governor","ITTS","Radar_Color","Radar_Range","Tracking_Cone","Max_Cone","Lock_Cone","Hold_Volume","Can_Cloak","Cloak_Min","Cloak_Rate","Cloak_Energy","Cloak_Glass","Repair_Droid","ECM_Rating","ECM_Resist","Ecm_Drain","Hud_Functionality","Max_Hud_Functionality","Lifesupport_Functionality","Max_Lifesupport_Functionality","Comm_Functionality","Max_Comm_Functionality","FireControl_Functionality","Max_FireControl_Functionality","SPECDrive_Functionality","Max_SPECDrive_Functionality","Slide_Start","Slide_End","Activation_Accel","Activation_Speed","Upgrades","Prohibited_Upgrades","Sub_Units","Sound","Light","Mounts","Net_Comm","Dock","Cargo_Import","Cargo","Explosion","Num_Animation_Stages","Upgrade_Storage_Volume","Heat_Sink_Rating","Shield_Efficiency","Num_Chunks","Chunk_0","Collide_Subunits","Spec_Interdiction","Tractorability"
"Key","String","string","For Internal Use Only","string","string","string","string","float","string","x=float","y=float","z=float(meters)","{filename(string);frame(int);texturetime(float)}","string","string","string","boolean","boolean","boolean","metric tons","metric tons * meters*meters","metric tons","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD","VSD/second","percentage","800MJ","100MJ","100MJ/s","Boolean","seconds","boolean","800MJ","800MJ/second","int type","100MJ/s","metric tons*degrees/second^2","metric tons*degrees/second^2","metric tons*degrees/second^2","degrees/sec","degrees/sec","degrees/sec","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons*m/s^2","metric tons**m/s^2","metric tons*m/s^2","meters/second","meters/second","boolean","boolean","meters","Degrees","Degrees","Degrees","m^3","boolean","percentage","percentage/second","800MJ/s","boolean","int","int","int","800MJ/s","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","1 normalized fraction","seconds","seconds","m/s^2","m/s","{filename(string);mountoffset(int);subunoffset(int)}","Semicolon delineated list of prohibited upgrades, allowing up to a certain number if specified with colon.","{filename(string);x(meters);y(meters);z(meters);forex(meters);forey(meters);forez(meters);upx(meters);upy(meters);upz(meters);restricted(meters)}","shieldhit(string);armorhit(string);hullhit(string);jump(string);explode(string);cloak(string);engine(string)","{meshfile(string);x(meters);y(meters);z(meters);scale(meters);r(percentage);g(percentage);b(percentage);a(percentage);activationspeed(meters/second)}","{type(string);ammo(int);volume(meters);SIZE(string);x(meters);y(meters);z(meters);xyscale(meters);zscale(meters);forex(meters);forey(meters);forez(meters);upx(meters);upy(meters);upz(meters);functionality(percentage);maxfunctionality(percentage)}","?","{Type(int);x(meters);y(meters);z(meters);size(meters);minsize(meters)}","{Cat(string);price(percentage);pricestddev(percentage);quant(percentage);quantstddev(percentage)}","{filename(string);Category(string);price(credits);quant(int);mass(metric Tons);volume(meters*meters*meters);functionality(percentage);maxfunctionality(percentage);description(string);missionCargo(bool)}","string","int","float","float","float(percent)","int","{mesh;;}","boolean",,"pPiI"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Admonisher_Milspec_Package__upgrades",,"Admonisher_Milspec_Package",,,,,,,,,,,,,,,,,,360,360,,700,1,1,1,1,1,1,1,1,0,0,0,0,,,,,0,0,250,,,TRUE,1,,200,120,1,4,50000,50000,50000,55,60,65,24000,20000,16000,4000,4000,4000,4000,250,250,FALSE,FALSE,300000000,5,180,10,150,,,,,0,0,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,"{armor04;;}{quadshield08;;}{add_spec_capacitor03;;}{capacitor07;;}{reactor10;;}{jump_drive;;}{starscanner2;;}{ecm_package02;;}",,,,,,,,,,,,,,,,,,,
"Ancestor_Milspec_Package__upgrades",,"Ancestor_Milspec_Package",,,,,,,,,,,,,,,,,,112,112,,120,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,200,180,,,,,,,30,0,590,300,60,TRUE,1,,200,40,1,4,50000,50000,50000,55,55,55,18000,15000,9000,5000,5000,5000,5000,275,275,FALSE,TRUE,300000000,5,180,10,175,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Areus_Milspec_Package__upgrades",,"Areus_Milspec_Package",,,,,,,,,,,,,,,,,,216,216,,,150,150,150,150,137.5,137.5,137.5,137.5,600,600,600,600,,,,,40,0,1600,1200,240,TRUE,,,200,200,1,4,,,,70,75,70,,,,,,,,,,TRUE,TRUE,300000000,8,180,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ariston_Milspec_Package__upgrades",,"Ariston_Milspec_Package",,,,,,,,,,,,,,,,,,160,160,,500,120,120,120,120,120,120,120,120,475,475,475,475,,,,,90,0,1360,1492,248,TRUE,1,,200,60,1,4,60000,60000,60000,80,90,100,21600,15000,10000,4000,4000,4000,4000,260,260,TRUE,TRUE,300000000,5,180,10,40,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Clydesdale_Milspec_Package__upgrades",,"Clydesdale_Milspec_Package",,,,,,,,,,,,,,,,,,29559158,29559158,,1646000,22000,22000,22000,22000,22000,22000,22000,22000,36000,36000,36000,36000,,,,,80,0,25000,30000,700,TRUE,1,,20000,,1,16,20000000,20000000,20000000,4,4,12,300000000,200000000,150000000,10000000,10000000,10000000,10000000,35,35,TRUE,TRUE,300000000,8.11,180,95.74,50000000,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Convolution_Milspec_Package__upgrades",,"Convolution_Milspec_Package",,,,,,,,,,,,,,,,,,80,80,,165,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,300,300,300,300,,,,,45,0,300,357,32,TRUE,1,,200,45,1,4,50000,50000,50000,60,70,65,16000,15000,12000,3000,3000,3000,3000,310,310,TRUE,TRUE,300000000,5,180,10,25,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Derivative_Milspec_Package__upgrades",,"Derivative_Milspec_Package",,,,,,,,,,,,,,,,,,60,60,,275,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,420,420,,,,,,,120,0,250,512,128,TRUE,1,,200,40,1,4,50000,50000,50000,65,70,80,18000,14000,12000,4000,4000,4000,4000,460,460,TRUE,TRUE,300000000,5,180,10,10,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
"Determinant_Milspec_Package__upgrades",,"Determinant_Milspec_Package",,,,,,,,,,,,,,,,,,54,54,,150,45,45,45,45,40,40,40,40,300,300,300,300,,,,,45,0,300,357,32,TRUE,1,,200,45,1,4,50000,50000,50000,55,55,60,18000,14000,12000,3000,3000,3000,3000,460,460,TRUE,TRUE,300000000,5,180,10,10,,,,,,,0,0,0,"1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1",1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
